id,directorId
862,7879
8844,511
15602,26502
31357,2178
11862,37
949,638
11860,2226
45325,2075
9091,37710
710,10702
9087,2702
12110,4057
21032,488
10858,1152
1408,2044
524,1032
4584,1614
5,3116
9273,4489
11517,52629
8012,5174
1710,18679
9691,7187
12665,56349
451,6109
16420,6210
9263,15798
17015,7017
902,2419
37557,607
9909,770
63,280
78802,2352
9598,1313
47018,4034
687,151
139405,2952
33689,17167
9603,57434
34615,16730
31174,33315
11443,531
35196,52405
9312,4014
577,5216
11861,3047
807,4023
10530,6340
8391,55439
629,9032
117164,100505
11448,1046
49133,128107
26441,71338
97406,140354
124057,30586
9089,1038
11010,28898
99040,38527
11359,7908
17182,19304
2054,18356
10607,45649
19760,49361
9536,57871
11525,69721
40628,7300
4482,18496
10634,37932
755,2294
11859,70850
28387,5656
48750,16862
20927,10296
36929,58712
9102,584
124626,1080309
27526,98101
9623,18069
46785,119294
400,5501
880,13496
146599,27771
188588,117075
8447,55038
10534,578
17414,29009
13997,58448
2086,12840
61548,4023
9095,8374
12158,5140
9283,34849
9208,21206
40154,11181
406,2406
45549,4014
63076,92561
11062,1760
13685,5655
47475,14692
2045,720
9614,17494
688,190
11907,18969
10874,65298
89333,64077
96357,1234226
197,2460
103,1032
33542,44916
43566,23393
71754,29453
43612,20849
51352,82293
16934,5489
10324,7492
78406,12989
55731,36147
32119,60295
11066,339
11104,12453
37975,65314
2074,17883
27793,16589
44284,239321
290157,93632
110972,122583
32622,313
73067,125543
11863,15175
55475,114997
124636,84445
9101,28904
123360,1077999
5757,31309
39428,1890
124639,1080311
9302,153
11000,5342
249882,5143
16388,12833
9737,770
30765,56828
10474,65390
22279,1302
30157,91343
568,142
11780,30365
34996,35144
414,5572
649,793
1873,19665
5894,46391
1775,17087
8839,11887
20649,5281
10329,136
8963,893
26564,5602
8068,2294
8512,16300
1572,8376
13552,19224
259209,68774
6520,3415
9073,56909
10428,1221
17447,19315
9886,310
9482,33279
19326,94753
9344,57392
9071,6400
8973,31211
15730,38516
47608,41332
2293,20503
9070,551
68274,44847
48787,58384
34574,5602
1642,4140
11472,1721
36196,56714
11980,11757
58372,60476
32646,16863
10533,8965
56088,898
10802,3562
10149,18892
18402,57396
9348,408
139408,1941
281,24882
5967,17880
79593,63713
47939,1128
36834,20237
9090,32277
3512,2163
52856,588623
77350,22767
9560,59353
9804,73494
31611,1723
65796,6111
49805,17309
26258,82796
50797,2240
19155,564
76,57691
11017,43468
37141,18378
9382,2145
6715,27991
18256,19969
22625,19303
2292,25210
1909,8246
8984,225065
61813,947
4954,52053
62488,3556
10531,18596
11929,7415
8467,1614
10451,56205
20156,1201
18395,510
522,8844
397,7904
10525,148119
27985,18382
15789,57090
27303,87695
21183,41519
10954,1566166
47867,129534
43475,5506
72031,122449
14275,15089
1024,77121
17207,307
13701,32593
14819,1203
32631,1760
11777,9018
628,54441
87729,73668
18713,8858
6280,56872
9061,62043
37108,23393
6071,1
11,58094
9587,414
19101,15488
49980,2559
17961,4185
18183,1729
4476,14692
11008,19755
47504,3110
32325,58463
43742,13017
28313,8219
11318,1776
3036,27444
40490,1046
24070,24318
8986,56911
10510,5065
17402,16395
38722,54971
8438,117
11593,933
1945,17278
39310,129957
109560,70905
56428,63937
63105,131792
131957,138
241,13563
9058,1376
527,2873
18220,5231
6950,59
101,6495
63020,23757
2307,138
680,16214
41478,1614
25296,42617
40156,4135
11450,3278
30304,6794
10452,37
12106,12804
161495,9789
3586,1126
110,1129
108,1134
109,77305
159185,16835
36357,13927
92769,1524
28033,630
22586,102445
14334,26648
2636,7228
2164,4055
11395,4027
278,2034
9905,101444
87078,72646
12527,57028
20306,75429
36614,64030
27993,27074
31439,56891
9067,15521
9059,2380
193,141825
25066,29483
46797,11770
12122,13426
11381,15389
32636,8377
36141,76705
95963,5306
1587,57090
9271,432
2064,18250
19855,1230367
60855,3045
236,83313
48287,4499
3049,15329
2759,1978
12635,3556
10497,1243
11382,7231
9331,5572
10731,16853
10464,5281
34152,4023
9495,4037
29973,13582
888,24
13,10723
712,6482
16295,81727
48992,17698
10879,1225
10660,7775
10714,28669
41647,8376
8587,4956
1689,5140
11596,12772
854,348
9359,72427
23333,13426
36593,339
12280,7399
2788,322
10427,18281
11011,869
49803,323
8987,2209
1637,1224549
15128,37710
8831,898
36955,1135
10449,553
10395,8844
12160,42301
40480,158634
52038,1526
29444,35689
26352,133183
39953,25349
41580,4590
315,67896
22067,80537
18242,1726
11667,486
32502,126837
267188,1142481
28732,532207
75555,129216
42981,1382436
278939,19799
291731,220152
226229,4040
203119,16401
172923,223910
316098,53599
8011,77076
171857,4767
2654,15673
18069,88060
19092,5174
2758,15106
38129,1032
10436,4023
13595,12988
46094,58424
9409,58047
11853,78188
16771,68687
46924,58448
11041,772
306,1901
14522,11898
26203,2042
178,15175
19819,32765
57834,39104
4722,14800
18215,380
1607,57107
26391,61175
